search_city,search_cuisine,y_id,name,image_url,url,closed,review_count,rating,price,lat,long,add1,city,state,zip_code,country,disp_ph
"San Francisco, CA",American,c0WpyZFR3EoEBKcoY2LZ3Q,Marlowe,https://s3-media1.fl.yelpcdn.com/bphoto/4CskEpDaE2yCeF7VI5UYOg/o.jpg,https://www.yelp.com/biz/marlowe-san-francisco-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,2714,4.0,$$,37.7783200510611,,500 Brannan St,San Francisco,CA,94107,US,(415) 777-1413
"San Francisco, CA",American,wxzx3duu1c0CcomzEOvfOQ,The Front Porch,https://s3-media1.fl.yelpcdn.com/bphoto/0fmMVyqSKOMIqtkQksUTUQ/o.jpg,https://www.yelp.com/biz/the-front-porch-san-francisco?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,2802,4.0,$$,37.7438,,65 29th St,San Francisco,CA,94110,US,(415) 695-7800
"San Francisco, CA",American,ykvr3ib1gHQHI4tznSn8iA,Wayfare Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/_WGCYEB3_AmKQbLHY754cg/o.jpg,https://www.yelp.com/biz/wayfare-tavern-san-francisco-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,3888,4.0,$$$,37.7939484886016,,558 Sacramento St,San Francisco,CA,94111,US,(415) 772-9060
"San Francisco, CA",American,XQLmEdXoMzOpffwoFaBtaQ,Kitchen Story,https://s3-media3.fl.yelpcdn.com/bphoto/NFhzbxcz4No5Ny8_IHdPMw/o.jpg,https://www.yelp.com/biz/kitchen-story-san-francisco?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,3292,4.0,$$,37.7642352,,3499 16th St,San Francisco,CA,94114,US,(415) 525-4905
"San Francisco, CA",American,DL-2iaugPoULjvZ6pyNRAQ,Causwells,https://s3-media1.fl.yelpcdn.com/bphoto/TVoM-20ZGYrdFou2SqcuiQ/o.jpg,https://www.yelp.com/biz/causwells-san-francisco-5?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,743,4.0,$$,37.8001342713833,,2346 Chestnut St,San Francisco,CA,94123,US,(415) 447-6081
"San Francisco, CA",Mexican,_EncdQezAzcShATMFXL0dA,Tropisueno,https://s3-media2.fl.yelpcdn.com/bphoto/hUZgDmue1VRfvIXai6I0wg/o.jpg,https://www.yelp.com/biz/tropisueno-san-francisco-8?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,4421,4.0,$$,37.7853008468227,,75 Yerba Buena Ln,San Francisco,CA,94103,US,(415) 243-0299
"San Francisco, CA",Mexican,SGRmnarrNuVEsAjYdEoA0w,El Farolito,https://s3-media1.fl.yelpcdn.com/bphoto/gcC2Uwtu5raP13D3jWYm0Q/o.jpg,https://www.yelp.com/biz/el-farolito-san-francisco-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,4873,4.0,$,37.75265,,2779 Mission St,San Francisco,CA,94110,US,(415) 824-7877
"San Francisco, CA",Mexican,Q5Fzv7Nslytl6i4wSon2Kw,El Capitan Taqueria,https://s3-media4.fl.yelpcdn.com/bphoto/10AUpoYKLJfGUhluyB710w/o.jpg,https://www.yelp.com/biz/el-capitan-taqueria-san-francisco-3?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,31,3.5,,37.76102,,4150 18th St,San Francisco,CA,94114,US,
"San Francisco, CA",Mexican,2nXYpojLdnIWkFW-Xe7B2A,Padrecito,https://s3-media1.fl.yelpcdn.com/bphoto/BkdlyO05_0w0fhA-gkq78A/o.jpg,https://www.yelp.com/biz/padrecito-san-francisco?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,919,4.0,$$,37.7656775,,901 Cole St,San Francisco,CA,94117,US,(415) 742-5505
"San Francisco, CA",Mexican,bBa6-Hhe56m1RH-12IOXMw,Nopalito,https://s3-media2.fl.yelpcdn.com/bphoto/LHPgnbe3uOoauRjPKtt3zw/o.jpg,https://www.yelp.com/biz/nopalito-san-francisco-3?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1316,4.0,$$,37.765409579693,,1224 9th Ave,San Francisco,CA,94122,US,(415) 233-9966
"Oakland, CA",American,cQ00bfG7i-IKUlrJMVy86w,Kitchen Story,https://s3-media4.fl.yelpcdn.com/bphoto/7yXk35uBfQsG4fGx0eo5nA/o.jpg,https://www.yelp.com/biz/kitchen-story-oakland?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,45,4.5,$$,37.84073,,5422 College Ave,Oakland,CA,94618,US,(510) 922-9443
"Oakland, CA",American,PGGtbjr8m4V54tWMgqYxmQ,Marica,https://s3-media2.fl.yelpcdn.com/bphoto/gvEPu9jGnaPNf9iTOuFtug/o.jpg,https://www.yelp.com/biz/marica-oakland-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1977,4.5,$$,37.83798,,5301 College Ave,Oakland,CA,94618,US,(510) 985-8388
"Oakland, CA",American,bhnKl105GwMVVlsiUnwr2w,Wood Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/Ouw9I3Osd8quV4OXQxqRwQ/o.jpg,https://www.yelp.com/biz/wood-tavern-oakland?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1947,4.5,$$$,37.850677245435,,6317 College Ave,Oakland,CA,94618,US,(510) 654-6607
"Oakland, CA",American,1aQn5XzAk_lVwxn997fphQ,Mua,https://s3-media2.fl.yelpcdn.com/bphoto/b3jX1dnXr2aoxcZuntxBqQ/o.jpg,https://www.yelp.com/biz/mua-oakland-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,3453,4.0,$$,37.8140830993652,,2442 Webster St,Oakland,CA,94612,US,(510) 238-1100
"Oakland, CA",American,VkZwT8AtDG9T-NOscVA79A,Spinning Bones,https://s3-media3.fl.yelpcdn.com/bphoto/u8pGwqWMT_EJ7PoDIVa6JA/o.jpg,https://www.yelp.com/biz/spinning-bones-alameda?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,43,4.5,$$,37.761214,,1205 Park St,Alameda,CA,94501,US,(510) 263-9290
"Oakland, CA",Mexican,UHFjEP5dVn4wqcjt7ByUog,Cholita Linda,https://s3-media3.fl.yelpcdn.com/bphoto/mtBfmRmsvJ9gEMjCdqYNyQ/o.jpg,https://www.yelp.com/biz/cholita-linda-oakland?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,1573,4.5,$$,37.8364704,,4923 Telegraph Ave,Oakland,CA,94609,US,(510) 594-7610
"Oakland, CA",Mexican,73QBd4BEeS1NZ4yBvm2P9w,Nido,https://s3-media4.fl.yelpcdn.com/bphoto/_k5F1e27b_ibCbV3jaOVBQ/o.jpg,https://www.yelp.com/biz/nido-oakland?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,797,4.0,$$,37.7946192,,444 Oak St,Oakland,CA,94607,US,(510) 444-6436
"Oakland, CA",Mexican,HRBxlWMWbdxF30hd3R5ZPg,CHICA Oakland,https://s3-media1.fl.yelpcdn.com/bphoto/hULf7Un5bC3EQ2m6lY8UHA/o.jpg,https://www.yelp.com/biz/chica-oakland-oakland-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,206,4.5,$$,37.8166547,,303A Oakland Ave,Oakland,CA,94611,US,(510) 735-9748
"Oakland, CA",Mexican,BRu5jonHeKavdCnna9f1YA,Rico Rico Taco,https://s3-media2.fl.yelpcdn.com/bphoto/Y5XfynkQzj6HXA-f0TxDgA/o.jpg,https://www.yelp.com/biz/rico-rico-taco-oakland-3?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,206,4.0,,37.810400072992,,3205 Lakeshore Ave,Oakland,CA,94610,US,(510) 922-8262
"Oakland, CA",Mexican,4bYTkiWkI6sCJL2DfokaXw,El Paisa,https://s3-media2.fl.yelpcdn.com/bphoto/UhUCbWyEzafdToQhuXpODw/o.jpg,https://www.yelp.com/biz/el-paisa-oakland-2?adjust_creative=bTV8F_bnMWhjazagcRNv9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTV8F_bnMWhjazagcRNv9w,False,227,4.5,$$,37.7708061721025,,4610 International Blvd,Oakland,CA,94601,US,(510) 610-6398
